	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	pagerank	subgraph	harmonic	strength
0	0	19	3.0	0.0003755975940412682	0.030598468267761143	0.027503579488484812	0.04559840786578479	0.4903581267217631	0.031426611471878675	0.00038121289109983186	0.09941520467836257	0.0015949041635732381	3212723861192497.0	182.0000000000003	0.3797296989655957
1	1	40	3.0	0.002586606458600673	0.10146721871518999	0.0508924389459004	0.061161722625604285	0.5227606461086637	0.04578675095410109	0.0026089188136320385	0.11666666666666667	0.002956848414702607	1.100020267397339e+16	196.50000000000009	1.9281198921391343
2	2	35	3.0	0.0014549091365311671	0.09436404852615647	0.04917899190586913	-0.04625143206495717	0.5174418604651163	0.04327248457026999	0.0014523375476043748	0.12773109243697478	0.0026003625977401553	1.0271972890260576e+16	193.6666666666668	1.0500513203945923
3	3	4	3.0	1.2052057601741596e-05	0.0015931820578394436	0.006238097126107432	-0.00445548641075991	0.3916391639163917	0.009678622063099085	1.2376503925385664e-05	0.0	0.0006696388176105007	165273847951428.9	146.49999999999986	0.4246774588275862
4	4	11	3.0	0.00011152355612559368	0.012435929076354293	0.017467981345740024	-0.026461001888930615	0.4593548387096774	0.021895896288888272	0.00011441799881859597	0.12727272727272726	0.0010984565983878792	1295924939315284.5	171.16666666666737	0.4984469200845594
5	5	23	3.0	0.0006054985827557075	0.04226525958208645	0.03241263223370495	-0.06563565572886654	0.4985994397759104	0.035041732575881536	0.0006122668803614767	0.11857707509881422	0.0018573327025929124	4461977615187580.0	185.3333333333336	0.20497901701141552
6	6	56	3.0	0.007457156436945266	0.16315443948163044	0.06535096686048847	0.024362573336385203	0.536144578313253	0.051899420327360286	0.007476150254434002	0.08831168831168831	0.004101822755943936	1.8138597598932144e+16	204.66666666666674	1.2460575643109562
7	7	8	3.0	6.229733251422799e-05	0.005679494198227652	0.011753220395018957	-0.01081747921487687	0.43099273607748173	0.017215505922999044	6.455485729032275e-05	0.14285714285714285	0.000918845812253858	586697031778585.6	161.6666666666675	0.7224225695469145
8	8	33	3.0	0.0021321429673894173	0.07064343973892358	0.04197613753899698	0.011187599606800309	0.5114942528735632	0.042021136774548856	0.0021664444227058447	0.07765151515151515	0.0025507386693115557	7483460845014173.0	191.66666666666683	0.5187775920187844
9	9	42	3.0	0.0022821413391923397	0.12984829119704985	0.05829649586867298	-0.04033716798676363	0.524300441826215	0.04676301658404873	0.002285124444107477	0.11614401858304298	0.0030426479878382664	1.4433902092824958e+16	197.50000000000009	0.299510679564411
10	10	42	3.0	0.0030861732806554826	0.12327426533077193	0.056493924331114935	-0.010388806048004571	0.5258493353028065	0.046694788333420285	0.0030905280994329844	0.12311265969802555	0.0031045809120249387	1.3555110542288402e+16	197.8333333333334	0.6619595834331703
11	11	37	3.0	0.0026711543086226108	0.08236782821875786	0.04546515521763317	0.014201170004605409	0.5166908563134979	0.044253304653138426	0.002715935804830507	0.07507507507507508	0.0027999307153151573	8779215957283829.0	194.1666666666668	0.4161228685850897
12	12	35	3.0	0.002342140743013787	0.0772094361162526	0.04394472045361079	0.08701383692313021	0.5151953690303908	0.043161998310881584	0.002369426966579844	0.0991596638655462	0.0026786485461670877	8201846521635539.0	193.1666666666668	0.8273663423680858
13	13	29	3.0	0.0011358026192889836	0.05932895222162734	0.038534195992198296	-0.07869874271962361	0.5071225071225072	0.03956445319658797	0.0011482585024245515	0.11822660098522167	0.0022376313890153155	6306540189925948.0	189.3333333333335	0.7646019228446534
14	14	31	3.0	0.0013614232742515794	0.06778358092935585	0.041242814098160614	-0.018148254702975732	0.5159420289855072	0.040869401977381516	0.0013792259957430865	0.11182795698924733	0.002370379479952725	7224222874991293.0	192.00000000000009	1.3268490119593963
15	15	39	3.0	0.003216261747590822	0.0775712630406566	0.043931442017821364	0.00015586530548017483	0.5181950509461426	0.04523689801414757	0.0032712299110770147	0.0796221322537112	0.002951592701656271	8196891253993749.0	195.1666666666668	-0.5399239776641798
16	16	57	3.0	0.005925748801366957	0.20099175628553548	0.07378060601359701	-0.01250208853567723	0.5410334346504561	0.05228470768130602	0.005870159727172991	0.11842105263157895	0.00406622689869421	2.311965528435041e+16	206.00000000000003	1.0592951862113653
17	17	14	3.0	0.00019262907398814877	0.01695065281150986	0.020364303738228142	0.018441464010085347	0.478494623655914	0.025890326090049973	0.00019547130676386408	0.08791208791208792	0.001286646491092359	1761292373574322.2	177.33333333333374	0.4271943503613746
18	18	47	3.0	0.0037620725459954103	0.14108918690310526	0.060772005128912	-0.061757030814702976	0.5274074074074074	0.048812550456100286	0.0037686416947057756	0.10730804810360776	0.0034145513779051	1.5685751241989104e+16	199.83333333333343	1.422881879694991
19	19	52	3.0	0.0052679074325655715	0.1575205309647829	0.06434006015540397	0.08532121160118633	0.5337331334332833	0.05063512605826303	0.005264980421344657	0.10256410256410256	0.003766324399844783	1.7581574459844422e+16	202.8333333333334	1.1699492402628175
20	20	16	3.0	0.00024642081905134976	0.023036119698016944	0.02382968908046556	-0.013640696636689572	0.4797843665768194	0.028242628818133757	0.0002490460466457089	0.08333333333333333	0.0014103937044319724	2411759425777093.0	178.33333333333374	-0.0053821152223963754
21	21	43	3.0	0.0031996153893048746	0.12176849058823586	0.05607197413141127	0.030563413495626607	0.5274074074074074	0.047167983015714975	0.0032018079614320447	0.10520487264673313	0.0031568984230759085	1.3353281802872716e+16	198.50000000000009	0.2261531435893248
22	22	48	3.0	0.004032382425156207	0.14522612460175274	0.06166730687990376	0.004055961940638582	0.5274074074074074	0.049202208997284745	0.004020263087498839	0.10106382978723404	0.0034807054527987978	1.6151224667352968e+16	200.1666666666668	0.8997510291830747
23	23	41	3.0	0.002550311944377471	0.11501282078593116	0.05448802968062953	-0.032699734460898223	0.5258493353028065	0.04628042715109925	0.0025519649440707234	0.1	0.0030092903136415988	1.2609531574278982e+16	197.50000000000009	1.4911469038517802
24	24	35	3.0	0.0016504399637408472	0.09489599605608688	0.0492883846646745	0.005415263586317531	0.5181950509461426	0.0432534958396696	0.001655698175933488	0.13445378151260504	0.0026115430628711155	1.0317745701558368e+16	193.83333333333343	0.8649947469491491
25	25	28	3.0	0.0010483867566404355	0.05614961698682997	0.03742648466113034	0.054177967176173514	0.5035360678925035	0.038876720409415366	0.0010540398193156417	0.12169312169312167	0.0021760290592913673	5949129402927817.0	188.16666666666686	1.069964812724686
26	26	33	3.0	0.0013781660944681515	0.0803917613967535	0.04519280759189135	-0.0096254425888657	0.5137085137085137	0.04210207401634398	0.0013892607422902185	0.13257575757575754	0.002483756592698509	8674354282271029.0	192.1666666666668	1.092533988393359
27	27	30	3.0	0.00096194899482985	0.07377279755392167	0.0432840713193872	0.05560038554306255	0.5092989985693849	0.04026337386319683	0.0009680318176452467	0.14942528735632185	0.002278395373644769	7957071443736590.0	190.16666666666683	0.7074173869364973
28	28	70	2.0	0.009395877288249614	0.27166886935809004	0.08773865056447608	-0.0017310325617372864	0.5545171339563862	0.05574583227684556	0.00930269889098551	0.10807453416149068	0.004919432194081726	3.2695005347942028e+16	213.0	0.49730261618027394
29	29	37	3.0	0.002404193496090674	0.08484714105798143	0.04627405074084205	0.0016679693524144776	0.5174418604651163	0.04428838241971249	0.002429495104433981	0.0990990990990991	0.0027739764632493747	9094330245803218.0	194.33333333333343	1.305211701430452
30	30	47	3.0	0.0032496544196046213	0.15420018103302022	0.06388346525045764	-0.029265335863949075	0.5321375186846039	0.048848815652741864	0.0032318520193080533	0.11840888066604995	0.003380368029991949	1.733302542170924e+16	200.83333333333337	0.6919035455903733
31	31	48	3.0	0.0033787728858917093	0.1511113249150711	0.06318810240257591	0.07475882997881837	0.5329341317365269	0.049239122087244215	0.003389221148543758	0.10283687943262412	0.0034389373788866096	1.695773136314725e+16	201.33333333333337	0.7976643211796988
32	32	62	3.0	0.0070122451481705326	0.2418753205722771	0.08203456244908028	-0.07574986532553815	0.5451761102603369	0.05372504581534412	0.006902416004830009	0.118455843469064	0.004404717365384837	2.8582048855932908e+16	208.50000000000003	0.2911567502696829
33	33	43	3.0	0.0030596431892056892	0.1229613046136724	0.056427337192929874	-0.08606907099488792	0.5258493353028065	0.0471444546041184	0.003069089608694591	0.12292358803986712	0.0031565026060187467	1.3523118318641442e+16	198.16666666666674	1.6815562086531677
34	34	53	3.0	0.0037693860176625108	0.1986886606940445	0.0736802791798749	0.006872712969492683	0.5369532428355958	0.05103167470954688	0.003758515874444913	0.1444121915820029	0.0037367736549824993	2.30570182017975e+16	203.83333333333337	1.736094082264409
35	35	42	3.0	0.003252999804134534	0.10666059597949214	0.05217425837223987	0.005341144787344277	0.524300441826215	0.04669616917911211	0.0032678871934495464	0.09175377468060393	0.003109307007720368	1.1561369428256456e+16	197.50000000000009	1.0810284501571292
36	36	50	3.0	0.005024434697598579	0.1398452535029678	0.06024268872169709	0.0719176123760936	0.5329341317365269	0.04991650074701713	0.00503715134978349	0.0906122448979592	0.003649032201171461	1.5413724565400728e+16	202.00000000000009	0.636207550387444
37	37	37	3.0	0.0024017003895200483	0.0825429073397061	0.04554831951407063	0.053921866489504575	0.52046783625731	0.044299631869491166	0.0024209544637326928	0.07657657657657657	0.002780348658034885	8811307508476496.0	195.00000000000009	1.2552803634424397
